AR_p,d,MA_q,SAR_P,D,SMA_Q,E,Box-Cox,IN_SAMPLE_MAPE,IN_SAMPLE_R2,IN_SAMPLE_MAE,AIC,IN_SAMPLE_TIME
1,1,0,0,0,2,12,False,0.07195129941643237,0.8117588864406097,0.36846218212621057,53.37080439935517,0.09015393257141113
0,1,2,1,0,0,12,False,0.07198074335663619,0.8075456704564882,0.37273199994875233,57.50935096285011,0.017181873321533203
1,1,0,0,0,1,12,False,0.0720104191221594,0.8073982930157152,0.3698777683964168,52.4219477113069,0.016184091567993164
1,1,1,1,0,0,12,False,0.07217529994209272,0.8075857144674077,0.37351968058373886,57.49362724247094,0.028115034103393555
1,1,2,1,0,0,12,False,0.0725698422438172,0.810297057392969,0.3765655585836419,58.3286629833821,0.06302499771118164
2,1,0,1,0,0,12,False,0.0728747753846942,0.8073321525247686,0.37632658523574114,57.65173508821018,0.017184972763061523
1,1,0,1,0,0,12,False,0.07308821450475293,0.8071808914878265,0.37731690566611026,55.751163161132595,0.01705026626586914
1,1,2,0,0,0,12,False,0.07349524392503422,0.808951975414323,0.3799637504238875,58.45316961993098,0.020893096923828125
0,1,1,0,0,0,12,False,0.0737206118709526,0.8069800448026594,0.3806509970816789,55.19373669584048,0.00463104248046875
0,1,2,0,0,0,12,False,0.07384250497498816,0.8070344800834157,0.3811265545980413,57.16924876221086,0.005486965179443359
1,1,1,0,0,0,12,False,0.073922863202714,0.8070708594729867,0.38157555634180923,57.15329724470282,0.006890773773193359
2,1,0,0,0,0,12,False,0.07455902248208666,0.806749918331473,0.38475121817687924,57.34362251560987,0.004547834396362305
0,0,2,2,0,2,12,False,0.0746659480061953,0.8375903532412217,0.4230406959591623,82.59031079908542,0.24596810340881348
1,1,0,0,0,0,12,False,0.07469150958531727,0.8065377685088153,0.38597791119210734,55.532794108756484,0.0037081241607666016
0,0,2,2,0,0,12,False,0.07471334736220951,0.8375918856892831,0.4213482991670976,77.97863862277009,0.15070009231567383
0,0,2,2,0,1,12,False,0.07568473480052008,0.8369795145897098,0.4282861497974617,80.40416924117146,0.18947887420654297
0,0,2,1,0,2,12,False,0.07592193735529774,0.833207313816883,0.4292210731065984,87.23666056238334,0.22568607330322266
0,0,2,0,0,2,12,False,0.07901451316242529,0.8295216898789068,0.4423312908381842,87.11647051211509,0.14063119888305664
2,2,2,2,0,0,12,False,0.07999116828340766,0.7893627601723066,0.4066180580019411,55.545194932596516,0.20918607711791992
1,2,2,2,0,0,12,False,0.08030240994491263,0.7887688084609313,0.4086086613338229,53.711121479252945,0.1985020637512207
2,2,2,2,0,1,12,False,0.08033968016309655,0.7892854049219575,0.40839394321855527,57.42367298881954,0.25779080390930176
1,2,2,2,0,1,12,False,0.08053657258220857,0.7888582603580004,0.4098654847237639,55.51061428958151,0.21877288818359375
2,2,2,1,0,2,12,False,0.08054025079417342,0.7891267172710097,0.4094650629337142,57.45711148755681,0.2948579788208008
2,2,2,1,0,0,12,False,0.08062155573345321,0.7860601402851147,0.41098606254175385,57.096444859495,0.11640810966491699
2,2,2,2,0,2,12,False,0.08064074514636065,0.7890628266075483,0.40995527669450027,59.463715968132014,0.286085844039917
1,2,2,1,0,2,12,False,0.08064834889471671,0.7888923056736477,0.4103065686766964,55.50313699071009,0.27941393852233887
1,2,2,2,0,2,12,False,0.08065077374942192,0.7887910252097998,0.4104945968265235,57.48340605601917,0.25601887702941895
2,2,2,0,0,0,12,False,0.08126104813390396,0.7839024522536886,0.4100548297624222,57.86554955125793,0.03259897232055664
2,2,2,0,0,2,12,False,0.08136772019264295,0.7885245812187729,0.41311865581002744,56.16321173507129,0.1870572566986084
1,2,2,0,0,2,12,False,0.08149536405790206,0.7881864358433446,0.41416226849287324,54.21199348950832,0.1989591121673584
0,0,2,1,0,1,12,False,0.08152788112907071,0.8184755891884761,0.46203543423035676,92.0575265374819,0.08415412902832031
2,2,2,1,0,1,12,False,0.08153926353527999,0.7880154155200978,0.41455546162897344,56.2972281923694,0.1600348949432373
1,2,2,1,0,1,12,False,0.08162738781334157,0.7878182831243778,0.4152275621199127,54.308871929338125,0.14176416397094727
1,2,2,1,0,0,12,False,0.08179844895106614,0.7848008235383555,0.4176135464363733,55.61663521571357,0.06531691551208496
0,0,2,0,0,1,12,False,0.08189638635140478,0.8140774632916157,0.46549901640559027,91.22050574973073,0.05254817008972168
0,2,2,2,0,0,12,False,0.0821070982127145,0.7858133910679397,0.41632050592603104,54.4170408577574,0.15505075454711914
2,2,1,2,0,0,12,False,0.08228618410797635,0.7854196642674166,0.41773653046148373,56.32598115842214,0.17136907577514648
0,2,2,0,0,2,12,False,0.08240377711511739,0.7852829833349575,0.4180854016625633,55.013101169872726,0.13592314720153809
0,2,2,2,0,1,12,False,0.0824470801219006,0.7857776160757448,0.41792523799884845,56.356283333950756,0.16553688049316406
